1773837930	2.9744
1773838365	2.7132
1773838812	2.8979
1773839212	2.5450
1773839928	2.9657
1773842102	2.3594
1773843125	2.2443
1773844409	2.1799
1773850351	2.2182
1773852031	3.6506
1773852808	2.9088
1773853438	2.8994
1773854096	2.9178
1773854716	2.7519
1773855782	2.7273
1773856411	2.8448
1773857093	2.8263
1773857717	2.7661
1773858357	2.5442
1773858978	2.3026
1773859599	2.2180
1773860219	2.1935
1773860839	2.2438
1773861467	2.1675
1773862090	2.1933
1773862717	2.1647
1773863359	2.1611
1773865557	6.0959
1773869264	2.5175
1773877208	3.1831
1773884859	2.7578
1773892531	2.8530
1773949191	2.1730
1773962379	2.1459
1773977798	2.1208
1773985127	2.1198
1773992412	2.1231
1773999655	2.0871
1774006901	2.1151
